Team_ID,Player_ID,LOC_X,LOC_Y,RADIUS,Event_ID,SHOT_CLOCK
1610612765,203083,29.79243,33.33864,0.0,215,6.42
-1,-1,4.23758,21.79909,3.39431,215,6.39
1610612737,200794,7.13051,22.98608,0.0,215,6.39
1610612737,200757,10.79714,29.03418,0.0,215,6.39
1610612737,201168,18.54686,29.35636,0.0,215,6.39
1610612737,201952,10.21402,18.56911,0.0,215,6.39
1610612737,203471,26.62372,48.25244,0.0,215,6.39
1610612765,101141,6.58253,21.03439,0.0,215,6.39
1610612765,202704,25.75769,37.2302,0.0,215,6.39
1610612765,202694,40.26002,19.93742,0.0,215,6.39
1610612765,203484,26.63612,48.14199,0.0,215,6.39
1610612765,203083,29.92499,33.37547,0.0,215,6.39
-1,-1,4.17067,22.02159,3.24084,215,6.35
1610612737,200794,7.1726,23.01794,0.0,215,6.35
1610612737,200757,10.78714,28.94013,0.0,215,6.35
1610612737,201168,18.65693,29.31945,0.0,215,6.35
1610612737,201952,10.13039,18.55757,0.0,215,6.35
1610612737,203471,27.06998,48.33471,0.0,215,6.35
1610612765,101141,6.59419,21.02817,0.0,215,6.35
1610612765,202704,26.18969,37.19934,0.0,215,6.35
1610612765,202694,40.44972,19.93357,0.0,215,6.35
1610612765,203484,27.0776,48.14504,0.0,215,6.35
1610612765,203083,30.06278,33.41499,0.0,215,6.35
-1,-1,4.04889,22.23417,3.02835,215,23.98
1610612737,200794,7.18627,23.03312,0.0,215,23.98
1610612737,200757,10.77108,28.85246,0.0,215,23.98
1610612737,201168,18.7745,29.27759,0.0,215,23.98
1610612737,201952,10.05149,18.53966,0.0,215,23.98
1610612737,203471,27.51646,48.40627,0.0,215,23.98
1610612765,101141,6.61226,21.0165,0.0,215,23.98
1610612765,202704,26.62629,37.16501,0.0,215,23.98
1610612765,202694,40.64191,19.92558,0.0,215,23.98
1610612765,203484,27.53187,48.13714,0.0,215,23.98
1610612765,203083,30.20319,33.39435,0.0,215,23.98
-1,-1,4.76263,22.47871,2.00733,215,23.95
1610612737,200794,7.19081,23.03486,0.0,215,23.95
1610612737,200757,10.74722,28.7809,0.0,215,23.95
1610612737,201168,18.89545,29.23292,0.0,215,23.95
1610612737,201952,9.9878,18.48285,0.0,215,23.95
1610612737,203471,27.96875,48.41229,0.0,215,23.95
1610612765,101141,6.6365,21.00486,0.0,215,23.95
1610612765,202704,27.06321,37.13707,0.0,215,23.95
1610612765,202694,40.84054,19.918,0.0,215,23.95
1610612765,203484,27.98416,48.14315,0.0,215,23.95
1610612765,203083,30.33453,33.41636,0.0,215,23.95
-1,-1,4.69304,22.33575,1.06852,215,23.93
1610612737,200794,7.16085,22.98789,0.0,215,23.93
1610612737,200757,10.71843,28.72312,0.0,215,23.93
1610612737,201168,19.02094,29.18373,0.0,215,23.93
1610612737,201952,9.93868,18.42349,0.0,215,23.93
1610612737,203471,28.42804,48.38926,0.0,215,23.93
1610612765,101141,6.67462,21.00411,0.0,215,23.93
1610612765,202704,27.50214,37.11267,0.0,215,23.93
1610612765,202694,41.03677,19.90557,0.0,215,23.93
1610612765,203484,28.44345,48.12013,0.0,215,23.93
1610612765,203083,30.47072,33.43783,0.0,215,23.93
-1,-1,4.78748,22.34322,1.1694,215,23.9
1610612737,200794,7.10955,22.96579,0.0,215,23.9
1610612737,200757,10.6776,28.68177,0.0,215,23.9
1610612737,201168,19.14632,29.13775,0.0,215,23.9
1610612737,201952,9.8911,18.3591,0.0,215,23.9
1610612737,203471,28.88292,48.35076,0.0,215,23.9
1610612765,101141,6.72004,21.00482,0.0,215,23.9
1610612765,202704,27.93884,37.07592,0.0,215,23.9
1610612765,202694,41.24,19.88754,0.0,215,23.9
1610612765,203484,28.89833,48.08163,0.0,215,23.9
1610612765,203083,30.6073,33.46913,0.0,215,23.9
-1,-1,4.96416,22.3571,1.39964,215,23.87
1610612737,200794,7.04138,22.90725,0.0,215,23.87
1610612737,200757,10.63426,28.65677,0.0,215,23.87
1610612737,201168,19.27791,29.08828,0.0,215,23.87
1610612737,201952,9.84445,18.28622,0.0,215,23.87
1610612737,203471,29.37368,48.32101,0.0,215,23.87
1610612765,101141,6.76809,21.00586,0.0,215,23.87
1610612765,202704,28.36479,37.04921,0.0,215,23.87
1610612765,202694,41.4513,19.86035,0.0,215,23.87
1610612765,203484,29.38909,48.05188,0.0,215,23.87
1610612765,203083,30.75736,33.44223,0.0,215,23.87
-1,-1,5.06309,22.36458,1.65069,215,23.85
1610612737,200794,6.98976,22.91909,0.0,215,23.85
1610612737,200757,10.58102,28.65518,0.0,215,23.85
1610612737,201168,19.41798,29.03404,0.0,215,23.85
1610612737,201952,9.80266,18.21276,0.0,215,23.85
1610612737,203471,29.88633,48.26808,0.0,215,23.85
1610612765,101141,6.81429,21.01762,0.0,215,23.85
1610612765,202704,28.79788,37.03008,0.0,215,23.85
1610612765,202694,41.6683,19.84084,0.0,215,23.85
1610612765,203484,29.90174,47.99895,0.0,215,23.85
1610612765,203083,30.90915,33.40626,0.0,215,23.85
-1,-1,5.0671,22.22225,1.90518,215,23.82
1610612737,200794,6.90983,22.91893,0.0,215,23.82
1610612737,200757,10.52291,28.67057,0.0,215,23.82
1610612737,201168,19.56587,28.96932,0.0,215,23.82
1610612737,201952,9.76976,18.11505,0.0,215,23.82
1610612737,203471,30.40449,48.20414,0.0,215,23.82
1610612765,101141,6.86479,21.03591,0.0,215,23.82
1610612765,202704,29.22868,36.9998,0.0,215,23.82
1610612765,202694,41.89203,19.8167,0.0,215,23.82
1610612765,203484,30.4199,47.935,0.0,215,23.82
1610612765,203083,31.06931,33.35757,0.0,215,23.82
-1,-1,5.08248,22.23423,1.90502,215,23.79
1610612737,200794,6.86456,22.92351,0.0,215,23.79
1610612737,200757,10.46213,28.70328,0.0,215,23.79
1610612737,201168,19.72156,28.90557,0.0,215,23.79
1610612737,201952,9.74125,18.01313,0.0,215,23.79
1610612737,203471,30.92883,48.12243,0.0,215,23.79
1610612765,101141,6.91687,21.05926,0.0,215,23.79
1610612765,202704,29.67512,36.96041,0.0,215,23.79
1610612765,202694,42.11915,19.79338,0.0,215,23.79
1610612765,203484,30.94424,47.8533,0.0,215,23.79
1610612765,203083,31.24412,33.32014,0.0,215,23.79
-1,-1,5.11362,22.26794,1.90457,215,23.77
1610612737,200794,6.79381,22.93027,0.0,215,23.77
1610612737,200757,10.39303,28.74089,0.0,215,23.77
1610612737,201168,19.88107,28.82815,0.0,215,23.77
1610612737,201952,9.71552,17.90818,0.0,215,23.77
1610612737,203471,31.44318,48.02046,0.0,215,23.77
1610612765,101141,6.98261,21.05266,0.0,215,23.77
1610612765,202704,30.13541,36.92301,0.0,215,23.77
1610612765,202694,42.34692,19.77701,0.0,215,23.77
1610612765,203484,31.45859,47.75133,0.0,215,23.77
1610612765,203083,31.41708,33.27587,0.0,215,23.77
-1,-1,5.15581,22.32004,1.9039300000000001,215,23.74
1610612737,200794,6.71272,22.93628,0.0,215,23.74
1610612737,200757,10.32696,28.80385,0.0,215,23.74
1610612737,201168,20.0438,28.74946,0.0,215,23.74
1610612737,201952,9.69619,17.79481,0.0,215,23.74
1610612737,203471,31.98037,47.90695,0.0,215,23.74
1610612765,101141,7.05364,21.03568,0.0,215,23.74
1610612765,202704,30.59127,36.89313,0.0,215,23.74
1610612765,202694,42.57356,19.76351,0.0,215,23.74
1610612765,203484,31.99578,47.63781,0.0,215,23.74
1610612765,203083,31.59735,33.22979,0.0,215,23.74
-1,-1,5.2043800000000005,22.38718,1.90317,215,23.71
1610612737,200794,6.62474,22.95075,0.0,215,23.71
1610612737,200757,10.2628,28.87072,0.0,215,23.71
1610612737,201168,20.21153,28.66501,0.0,215,23.71
1610612737,201952,9.68908,17.67221,0.0,215,23.71
1610612737,203471,32.53167,47.80925,0.0,215,23.71
1610612765,101141,7.13331,21.0179,0.0,215,23.71
1610612765,202704,31.04021,36.8693,0.0,215,23.71
1610612765,202694,42.79321,19.75454,0.0,215,23.71
1610612765,203484,32.54708,47.54012,0.0,215,23.71
1610612765,203083,31.78754,33.16946,0.0,215,23.71
-1,-1,5.25464,22.46602,1.90236,215,23.68
1610612737,200794,6.50016,22.97555,0.0,215,23.68
1610612737,200757,10.20444,28.95362,0.0,215,23.68
1610612737,201168,20.38289,28.57282,0.0,215,23.68
1610612737,201952,9.69202,17.54643,0.0,215,23.68
1610612737,203471,33.09573,47.68957,0.0,215,23.68
1610612765,101141,7.21854,20.99369,0.0,215,23.68
1610612765,202704,31.49308,36.84939,0.0,215,23.68
1610612765,202694,43.00799,19.75374,0.0,215,23.68
1610612765,203484,33.11114,47.42044,0.0,215,23.68
1610612765,203083,31.96582,33.1461,0.0,215,23.68
-1,-1,5.30188,22.5532,1.9016000000000002,215,23.66
1610612737,200794,6.36238,23.00201,0.0,215,23.66
1610612737,200757,10.14482,29.0486,0.0,215,23.66
1610612737,201168,20.54614,28.51898,0.0,215,23.66
1610612737,201952,9.70267,17.42026,0.0,215,23.66
1610612737,203471,33.67242,47.5321,0.0,215,23.66
1610612765,101141,7.3079,20.96964,0.0,215,23.66
1610612765,202704,31.96154,36.82289,0.0,215,23.66
1610612765,202694,43.2229,19.7559,0.0,215,23.66
1610612765,203484,33.68783,47.26297,0.0,215,23.66
1610612765,203083,32.15212,33.11317,0.0,215,23.66
-1,-1,5.34144,22.6454,1.90096,215,23.63
1610612737,200794,6.21246,23.02471,0.0,215,23.63
1610612737,200757,10.09197,29.1575,0.0,215,23.63
1610612737,201168,20.73352,28.4234,0.0,215,23.63
1610612737,201952,9.72169,17.28602,0.0,215,23.63
1610612737,203471,34.25955,47.3158,0.0,215,23.63
1610612765,101141,7.40528,20.9492,0.0,215,23.63
1610612765,202704,32.43734,36.79966,0.0,215,23.63
1610612765,202694,43.4386,19.75888,0.0,215,23.63
1610612765,203484,34.26257,47.15711,0.0,215,23.63
1610612765,203083,32.33313,33.07201,0.0,215,23.63
-1,-1,5.36861,22.73926,1.9005100000000001,215,23.6
1610612737,200794,6.03355,23.00008,0.0,215,23.6
1610612737,200757,10.04258,29.27774,0.0,215,23.6
1610612737,201168,20.91496,28.37275,0.0,215,23.6
1610612737,201952,9.74697,17.14238,0.0,215,23.6
1610612737,203471,34.855760000000004,47.06247,0.0,215,23.6
1610612765,101141,7.51674,20.94051,0.0,215,23.6
