./data/raw/motion/0021500001.json,0,18
./data/raw/motion/0021500001.json,4,34
./data/raw/motion/0021500001.json,4,47
./data/raw/motion/0021500001.json,4,60
./data/raw/motion/0021500001.json,4,300
./data/raw/motion/0021500001.json,4,313
./data/raw/motion/0021500001.json,5,315
./data/raw/motion/0021500001.json,6,239
./data/raw/motion/0021500001.json,6,320
./data/raw/motion/0021500001.json,7,296
./data/raw/motion/0021500001.json,7,309
./data/raw/motion/0021500001.json,7,525
./data/raw/motion/0021500001.json,7,667
./data/raw/motion/0021500001.json,8,296
./data/raw/motion/0021500001.json,8,309
./data/raw/motion/0021500001.json,8,525
./data/raw/motion/0021500001.json,8,667
./data/raw/motion/0021500001.json,9,142
./data/raw/motion/0021500001.json,10,142
./data/raw/motion/0021500001.json,11,438
./data/raw/motion/0021500001.json,11,451
./data/raw/motion/0021500001.json,11,464
