,team_id,player_id,loc_x,loc_y,ball_z,shot_clock
86,1610612765.0,203484.0,48.47719,14.51957,0.0,24.0
87,1610612765.0,203083.0,47.38687,24.24348,0.0,24.0
88,-1.0,-1.0,47.24108,26.29203,6.9246300000000005,24.0
89,1610612737.0,2594.0,45.70569,15.69936,0.0,24.0
90,1610612737.0,200794.0,56.92041,22.95959,0.0,24.0
91,1610612737.0,201143.0,47.38229,24.25949,0.0,24.0
92,1610612737.0,201952.0,28.89483,23.56584,0.0,24.0
93,1610612737.0,203145.0,40.5219,31.70028,0.0,24.0
94,1610612765.0,101141.0,56.35281,25.53309,0.0,24.0
95,1610612765.0,202704.0,73.65378,25.45089,0.0,24.0
96,1610612765.0,202694.0,48.54168,35.31562,0.0,24.0
97,1610612765.0,203484.0,48.47974,14.51564,0.0,24.0
98,1610612765.0,203083.0,47.38229,24.25949,0.0,24.0
99,-1.0,-1.0,47.21699,26.25697,7.358,24.0
100,1610612737.0,2594.0,45.71071,15.70952,0.0,24.0
101,1610612737.0,200794.0,56.92019,22.97003,0.0,24.0
102,1610612737.0,201143.0,47.39271,24.24378,0.0,24.0
103,1610612737.0,201952.0,28.97162,23.54138,0.0,24.0
104,1610612737.0,203145.0,40.52351,31.69747,0.0,24.0
105,1610612765.0,101141.0,56.35861,25.54322,0.0,24.0
106,1610612765.0,202704.0,73.65806,25.44611,0.0,24.0
107,1610612765.0,202694.0,48.53179,35.316,0.0,24.0
108,1610612765.0,203484.0,48.48332,14.51258,0.0,24.0
109,1610612765.0,203083.0,47.39271,24.24378,0.0,24.0
110,-1.0,-1.0,47.1398,26.20592,7.9031400000000005,24.0
111,1610612737.0,2594.0,45.71693,15.71976,0.0,24.0
112,1610612737.0,200794.0,56.91002,22.99186,0.0,24.0
113,1610612737.0,201143.0,47.4004,24.25627,0.0,24.0
114,1610612737.0,201952.0,29.04625,23.52341,0.0,24.0
115,1610612737.0,203145.0,40.52672,31.69455,0.0,24.0
116,1610612765.0,101141.0,56.35804,25.53366,0.0,24.0
117,1610612765.0,202704.0,73.66475,25.44669,0.0,24.0
118,1610612765.0,202694.0,48.52854,35.31088,0.0,24.0
119,1610612765.0,203484.0,48.48687,14.50779,0.0,24.0
120,1610612765.0,203083.0,47.4004,24.25627,0.0,24.0
121,-1.0,-1.0,47.26647,26.22279,8.47128,24.0
122,1610612737.0,2594.0,45.72534,15.72572,0.0,24.0
123,1610612737.0,200794.0,56.93823,23.0159,0.0,24.0
124,1610612737.0,201143.0,47.42009,24.28242,0.0,24.0
125,1610612737.0,201952.0,29.125,23.51132,0.0,24.0
126,1610612737.0,203145.0,40.53301,31.69375,0.0,24.0
127,1610612765.0,101141.0,56.38816,25.52626,0.0,24.0
128,1610612765.0,202704.0,73.66565,25.45145,0.0,24.0
129,1610612765.0,202694.0,48.53029,35.30829,0.0,24.0
130,1610612765.0,203484.0,48.49279,14.5051,0.0,24.0
131,1610612765.0,203083.0,47.42009,24.28242,0.0,24.0
132,-1.0,-1.0,47.26005,26.11308,9.02512,24.0
133,1610612737.0,2594.0,45.73457,15.7308,0.0,24.0
134,1610612737.0,200794.0,56.97294,23.0608,0.0,24.0
135,1610612737.0,201143.0,47.39774,24.29479,0.0,24.0
136,1610612737.0,201952.0,29.19897,23.50058,0.0,24.0
137,1610612737.0,203145.0,40.54209,31.69175,0.0,24.0
138,1610612765.0,101141.0,56.41567,25.53419,0.0,24.0
139,1610612765.0,202704.0,73.66896,25.45389,0.0,24.0
140,1610612765.0,202694.0,48.54043,35.30824,0.0,24.0
141,1610612765.0,203484.0,48.49733,14.50585,0.0,24.0
142,1610612765.0,203083.0,47.39774,24.29479,0.0,24.0
143,-1.0,-1.0,47.19346,26.02972,9.37988,24.0
144,1610612737.0,2594.0,45.74478,15.73294,0.0,24.0
145,1610612737.0,200794.0,56.9938,23.11265,0.0,24.0
146,1610612737.0,201143.0,47.40673,24.33337,0.0,24.0
147,1610612737.0,201952.0,29.27654,23.49253,0.0,24.0
148,1610612737.0,203145.0,40.55292,31.68903,0.0,24.0
149,1610612765.0,101141.0,56.42373,25.53506,0.0,24.0
150,1610612765.0,202704.0,73.67262,25.45531,0.0,24.0
151,1610612765.0,202694.0,48.55909,35.30954,0.0,24.0
152,1610612765.0,203484.0,48.50012,14.50359,0.0,24.0
153,1610612765.0,203083.0,47.40673,24.33337,0.0,24.0
154,-1.0,-1.0,47.23507,26.07844,9.78482,24.0
155,1610612737.0,2594.0,45.75508,15.73348,0.0,24.0
156,1610612737.0,200794.0,57.01779,23.16575,0.0,24.0
157,1610612737.0,201143.0,47.41098,24.3599,0.0,24.0
158,1610612737.0,201952.0,29.34714,23.48481,0.0,24.0
159,1610612737.0,203145.0,40.5648,31.68892,0.0,24.0
160,1610612765.0,101141.0,56.43121,25.53542,0.0,24.0
161,1610612765.0,202704.0,73.67834,25.45712,0.0,24.0
162,1610612765.0,202694.0,48.57792,35.31128,0.0,24.0
163,1610612765.0,203484.0,48.50334,14.50277,0.0,24.0
164,1610612765.0,203083.0,47.41098,24.3599,0.0,24.0
165,-1.0,-1.0,47.21505,25.94083,10.04386,24.0
166,1610612737.0,2594.0,45.76542,15.73488,0.0,24.0
167,1610612737.0,200794.0,57.09466,23.25719,0.0,24.0
168,1610612737.0,201143.0,47.40171,24.40371,0.0,24.0
169,1610612737.0,201952.0,29.42324,23.49012,0.0,24.0
170,1610612737.0,203145.0,40.57763,31.68595,0.0,24.0
171,1610612765.0,101141.0,56.46438,25.54161,0.0,24.0
172,1610612765.0,202704.0,73.67364,25.46057,0.0,24.0
173,1610612765.0,202694.0,48.61132,35.31205,0.0,24.0
174,1610612765.0,203484.0,48.51081,14.50024,0.0,24.0
175,1610612765.0,203083.0,47.40171,24.40371,0.0,24.0
176,-1.0,-1.0,47.21661,25.91037,10.35819,24.0
177,1610612737.0,2594.0,45.77744,15.7334,0.0,24.0
178,1610612737.0,200794.0,57.13373,23.34985,0.0,24.0
179,1610612737.0,201143.0,47.39733,24.44112,0.0,24.0
180,1610612737.0,201952.0,29.49338,23.49057,0.0,24.0
181,1610612737.0,203145.0,40.5925,31.685200000000002,0.0,24.0
182,1610612765.0,101141.0,56.46679,25.54243,0.0,24.0
183,1610612765.0,202704.0,73.66575,25.464010000000002,0.0,24.0
184,1610612765.0,202694.0,48.65455,35.31851,0.0,24.0
185,1610612765.0,203484.0,48.51919,14.49656,0.0,24.0
186,1610612765.0,203083.0,47.39733,24.44112,0.0,24.0
187,-1.0,-1.0,47.24549,25.8877,10.52248,24.0
188,1610612737.0,2594.0,45.78871,15.7325,0.0,24.0
189,1610612737.0,200794.0,57.22164,23.48341,0.0,24.0
190,1610612737.0,201143.0,47.3571,24.47906,0.0,24.0
191,1610612737.0,201952.0,29.56609,23.489910000000002,0.0,24.0
192,1610612737.0,203145.0,40.60683,31.68297,0.0,24.0
193,1610612765.0,101141.0,56.4527,25.49547,0.0,24.0
194,1610612765.0,202704.0,73.65609,25.46591,0.0,24.0
195,1610612765.0,202694.0,48.70232,35.32556,0.0,24.0
196,1610612765.0,203484.0,48.52877,14.49162,0.0,24.0
197,1610612765.0,203083.0,47.3571,24.47906,0.0,24.0
198,-1.0,-1.0,47.18052,25.86781,10.68854,24.0
199,1610612737.0,2594.0,45.80003,15.72958,0.0,24.0
200,1610612737.0,200794.0,57.31539,23.69773,0.0,24.0
